Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A6J7ZYI4,159,,RAC1,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A6J8ALZ4,159,,RAB6A,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8DFN1,159,,MYO1,Mytilus coruscus (Sea mussel),42192,"actin binding, ATP binding, GTPase activity, GTP binding, motor activity","Actin-binding, Motor protein, Myosin",nan,nan,Cytoskeleton,nan,nan,nan,Reference proteome,nan
A0CPF5,159,5025854,Miro domain-containing protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding, metal ion binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0ED86,159,5046435,Uncharacterized protein,Paramecium tetraurelia,5888,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,"Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
A2DRX0,159,4774929,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
A2EII0,159,4765394,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,"Endosome, Other locations",nan,nan,nan,Reference proteome,nan
A2FFY5,159,4753963,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A2FQ27,159,4750706,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,"Endosome, Other locations",nan,nan,nan,Reference proteome,nan
A4VE74,159,7825080,Small GTPase family Rab protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A7ASC6,159,5479247,GTP-binding nuclear protein,Babesia bovis,5865,"GTPase activity, GTP binding",nan,"nucleocytoplasmic transport, protein transport","Protein transport, Transport",Nucleus,nan,nan,nan,Reference proteome,nan
B1N2J6,159,6219358,"GTP-binding protein, putative",Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,"Endosome, Other locations",nan,nan,nan,Reference proteome,nan
C4LTJ7,159,3406231,Rab family GTPase,Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,"intracellular protein transport, lipid droplet organization",nan,"Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
C4M6J2,159,3407557,Ras family GTPase,Entamoeba histolytica,5759,"GDP binding, GTPase activity, GTP binding",nan,Ras protein signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
C4M761,159,3410128,"Ras-likeGTP-binding protein YPT1, putative",Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,"protein secretion, regulation of exocytosis, vesicle docking involved in exocytosis",nan,nan,nan,nan,nan,Reference proteome,nan
D3ZTE4,159,679682,GTPase ERas,Rattus norvegicus (Rat),10116,"GDP binding, GTPase activity, GTP binding",nan,Ras protein signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
D6WEY7,159,655105,Ras-like GTP-binding protein RhoL,Tribolium castaneum (Red flour beetle),7070,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, engulfment of apoptotic cell, establishment or maintenance of cell polarity, motor neuron axon guidance, regulation of actin cytoskeleton organization, regulation of cell shape",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
D7FUV0,159,,"RJL, Ras superfamily GTPase",Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
E3I3J8,159,,Small GTP-binding protein,Rhodomicrobium vannielii (strain ATCC 17100 / ATH 3.1.1 / DSM 162 / LMG 4299),648757,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
E4X1B9,159,,Miro domain-containing protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding, metal ion binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
F2UFZ5,159,16072440,GTP-binding nuclear protein,Salpingoeca rosetta (strain ATCC 50818 / BSB-021),946362,"GTPase activity, GTP binding",nan,"nucleocytoplasmic transport, protein transport","Protein transport, Transport",Nucleus,nan,nan,nan,Reference proteome,nan
G4TWA8,159,,Related to Rho3 GTP binding protein,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
I7LSX5,159,7835672,Tyrosine kinase domain protein,Tetrahymena thermophila (strain SB210),312017,"ATP binding, GTPase activity, GTP binding, protein kinase activity","Kinase, Transferase",nan,nan,nan,nan,nan,nan,Reference proteome,nan
K1PJ50,159,105320791,DnaJ-like protein subfamily C member 27-A,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
K1S5G0,159,105337298,GTP-binding protein ypt1,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
O59781,159,2538910,Mitochondrial Rho GTPase 1,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion-endoplasmic reticulum membrane tethering, mitochondrion organization, regulation of mitochondrion organization",nan,"Endoplasmic reticulum, Mitochondrion",nan,nan,nan,Reference proteome,nan
P39722,159,851249,Mitochondrial Rho GTPase 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"heme transport, mitochondrion-endoplasmic reticulum membrane tethering, mitochondrion inheritance, mitochondrion organization, phospholipid homeostasis, regulation of mitochondrion organization",nan,"Endoplasmic reticulum, Mitochondrion",nan,nan,nan,Reference proteome,nan
Q19143,159,172487,NF-kappa-B inhibitor-interacting Ras-like protein,Caenorhabditis elegans,6239,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
Q22NB7,159,7844143,Uncharacterized protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q22R58,159,7828757,Small GTPase family Rab protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q239J9,159,7842466,Gtr1/RagA G motif protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q4G2C2,159,4749427,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
Q7Z444,159,3266,GTPase ERas,Homo sapiens (Human),9606,"GDP binding, G protein activity, GTPase activity, GTP binding",Hydrolase,Ras protein signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
Q9XX14,159,176490,Arf-GAP with ANK repeat and PH domain-containing protein cnt-2,Caenorhabditis elegans,6239,"GTPase activator activity, GTPase activity, GTP binding, metal ion binding",GTPase activation,"activation of GTPase activity, asymmetric neuroblast division, cell fate determination involved in pattern specification, endocytosis, protein transport, regulation of receptor-mediated endocytosis","Endocytosis, Protein transport, Transport",Nucleus,nan,nan,nan,Reference proteome,nan
R4FL47,159,,Putative ras family small gtpase,Rhodnius prolixus (Triatomid bug),13249,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
R7UGD9,159,,Uncharacterized protein,Capitella teleta (Polychaete worm),283909,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
S4RXD2,159,,Uncharacterized protein,Petromyzon marinus (Sea lamprey),7757,"GTPase activator activity, GTPase activity, GTP binding",nan,positive regulation of GTPase activity,nan,nan,nan,nan,nan,Reference proteome,nan
T1G5G5,159,20216312,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
T1KGT0,159,107363913,Uncharacterized protein,Tetranychus urticae (Two-spotted spider mite),32264,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
V6LK69,159,,RabF,Spironucleus salmonicida,348837,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W5SAJ0,159,18266241,Rab-like GTPase,Pithovirus sibericum,1450746,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W7IBG3,159,,Mitochondrial Rho GTPase,Drechslerella stenobrocha 248,1043628,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
W7XEE6,159,24440845,ADP-ribosylation factor family protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nucleocytoplasmic transport,nan,nan,nan,nan,nan,Reference proteome,nan
X6M4I9,159,,Ras family small GTPase,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
X6N3X4,159,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
X6NMH3,159,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A016T856,160,,GTP-binding domain protein,Ancylostoma ceylanicum,53326,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A024G593,160,,Calmodulin,Albugo candida,65357,"calcium ion binding, GTPase activity, GTP binding",nan,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A075AX78,160,,"Small GTPase superfamily, Rab type domain-containing protein",Rozella allomycis (strain CSF55),988480,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A078A9J1,160,,Small gtpase,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding, zinc ion binding",nan,intracellular signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A078AND6,160,,Ras-related protein rab-10,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A090LEA7,160,,"Small GTPase superfamily and Small GTPase superfamily, Rho type and P-loop containing nucleoside triphosphate hydrolase domain-containing protein",Strongyloides ratti (Parasitic roundworm),34506,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A090LNA7,160,,GTPase RhebL1,Strongyloides ratti (Parasitic roundworm),34506,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0L0D8R9,160,25560315,Ras-1,Thecamonas trahens ATCC 50062,461836,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0L0DVZ3,160,25569440,TC10/CDC42 GTPase-activating protein,Thecamonas trahens ATCC 50062,461836,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0V0QAL1,160,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A131ZXU1,160,,RAS-like protein 4,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1D2N4V5,160,,Ras-like protein family member 10B,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1D2N8X2,160,,Ras-related protein Rab-28,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J1HE63,160,,"CLUMA_CG000059, isoform A",Clunio marinus,568069,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4J888,160,,Ras-related protein Rab-5C,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JDE6,160,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JH44,160,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JQ83,160,,Ras-related protein Rab-24,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JTJ4,160,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JZ83,160,,Ras-related protein RABA4d,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K4F2,160,,Ras-related protein RABH1b,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K6W7,160,,Ras-related protein Rab-18,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K8L6,160,,Ras-related protein Rab-24,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KG41,160,,GTP-binding protein ypt2,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KG91,160,,Uncharacterized protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KMC2,160,,GTP-binding protein YPT53,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KPE5,160,,Ras-related protein Rab-19,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KVD4,160,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KWH7,160,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Q9DCF5,160,,Ras-related protein Rab-13,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),2951,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2AKU9,160,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2B7P8,160,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2B844,160,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2BBM3,160,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2BET4,160,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7UUT2,160,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7VDV3,160,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Y0I807,160,,Small GTP-binding protein,Oleiphilus messinensis,141451,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Y1UZ31,160,,p-loop containing nucleoside triphosphate hydrolase protein,Piromyces finnis,1754191,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A210QPZ8,160,,Cdc42-like,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A210QQ04,160,,Ras-like GTP-binding protein RhoL,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A250X5J5,160,,Uncharacterized protein,Chlamydomonas eustigma,1157962,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2H4UV28,160,,Ras like GTPase,Bodo saltans virus,2024608,"GTPase activity, GTP binding",nan,signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3S1C9P1,160,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4U0WLZ8,160,,Uncharacterized protein,Cryomyces minteri,331657,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4U0XGT4,160,,Uncharacterized protein,Cryomyces minteri,331657,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4V3SH37,160,,Uncharacterized protein,Opisthorchis felineus,147828,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A4X3PUB5,160,,Mitochondrial Rho GTPase,Pristionchus pacificus (Parasitic nematode),54126,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A5C1QND4,160,,GTP-binding protein,Oceanispirochaeta crateris,2518645,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A653DTG5,160,,Uncharacterized protein,Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid),64391,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A4JHJ6,160,,PLD phosphodiesterase domain-containing protein,Apolygus lucorum (Plant bug) (Lygocoris lucorum),248454,"GTPase activity, GTP binding",nan,lipid catabolic process,"Lipid degradation, Lipid metabolism",nan,nan,nan,nan,Reference proteome,nan
A0A6A5BHN1,160,,F-box domain-containing protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J7ZVX5,160,,RAC1,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8BDT5,160,,Uncharacterized protein,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8BED9,160,,RAB11A,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8EIM6,160,,DNAJC27,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A2DC81,160,5467676,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,nan,nan,Golgi apparatus,nan,nan,nan,Reference proteome,nan
A2DPD6,160,4775698,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
A2DUM9,160,4773927,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A2DWN2,160,4773218,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
A2DZJ4,160,4772186,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A2DZN5,160,4772091,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
A2E476,160,4770488,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A2EV06,160,4761374,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A2F4A8,160,4758106,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,nan,nan,nan,nan,Reference proteome,nan
A2FBE2,160,4755561,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
A2G211,160,4746465,Ras family protein,Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"autophagosome assembly, intracellular protein transport",nan,"Endosome, Vacuole, Other locations",nan,nan,nan,Reference proteome,nan
A2GEQ6,160,4741995,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A8B5M4,160,5702180,Ras-related protein,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia),184922,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A9G8D6,160,,"Ras-related GTP-binding protein, putative",Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56)),448385,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
B3RMI8,160,6751422,Uncharacterized protein,Trichoplax adhaerens (Trichoplax reptans),10228,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
B3RX28,160,6753903,Uncharacterized protein,Trichoplax adhaerens (Trichoplax reptans),10228,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
C3YKI2,160,,Ig-like domain-containing protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,"Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
C4LYJ1,160,3411628,Uncharacterized protein,Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
C4M062,160,3405039,Rab family GTPase,Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
H3EG82,160,,Bca-1,Pristionchus pacificus (Parasitic nematode),54126,"carbonate dehydratase activity, GTPase activity, GTP binding, zinc ion binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
H3GHE9,160,,Calmodulin,Phytophthora ramorum (Sudden oak death agent),164328,"calcium ion binding, GTPase activity, GTP binding",nan,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
I0YJ08,160,17036288,Uncharacterized protein,Coccomyxa subellipsoidea (strain C-169) (Green microalga),574566,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
L8GQR5,160,14915827,"Rasrelated protein Rab-39B, putative",Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q1ZXQ0,160,8617180,Sca1 complex protein phr,Dictyostelium discoideum (Slime mold),44689,"GDP binding, GTPase activity, GTP binding",nan,"chemotaxis to cAMP, Ras protein signal transduction",nan,"Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
Q3SDP7,160,5012777,Rab_C27 protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,nan,nan,"Endosome, Golgi apparatus",nan,nan,nan,Reference proteome,nan
Q3SDQ3,160,5016930,Rab_C42 protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
Q4G2A6,160,4769330,Ras family protein,Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
Q54DF4,160,8628603,Small GTPase,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
Q54YJ0,160,8621419,Small GTPase,Dictyostelium discoideum (Slime mold),44689,"GDP binding, GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
